,無記入
ハーピィ,ハーピィ
リゾネーター,リゾネーター
オノマト,オノマト
サンダー・ドラゴン,サンダー・ドラゴン
炎王,炎王
青眼,青眼
トラミッド,トラミッド
領域海皇,領域海皇
TG,TG
妖仙獣,妖仙獣
不知火,不知火
シューティング・スター,シューティング・スター
サイバー・ドラゴン,サイバー・ドラゴン
月光,月光
呪眼,呪眼
HERO(融合),HERO
その他,その他
