,無記入
ピュアリィ,purrely
クシャトリラ,kashtira
ティアラメンツ,tearlaments
ラビュリンス,labrynth
スプライト,spright
P.U.N.K,punk
烙印ビーステッド,branded_bystial
御巫,mikanko
斬機,mathmech
ナチュル,naturia
不明,unknown
その他,others
