,無記入
オノマト,オノマト
サイバー・ドラゴン,サイバー・ドラゴン
サンダー・ドラゴン,サンダー・ドラゴン
ガイア,ガイア
ハーピィ,ハーピィ
トラミッド,トラミッド
リゾネーター,リゾネーター
恐竜TG,恐竜TG
TG(恐竜以外),TG
呪眼,呪眼
月光,月光
青眼,青眼
領域海皇,領域海皇
妖仙獣,妖仙獣
不知火,不知火
ギミック・パペット,ギミック・パペット
先史遺産,先史遺産
その他,その他
