,無記入
タキオン・ドラゴン・ドミネーション
不知火流の継承者
胎動する魔妖
星の勇者
セイクリッド・ユニオン
デステニー・エフェクト
影を紡ぐ力
フォトン・ドラゴン・アドベント
光と闇の魂
闘いのクロニクル
ブルーアイズ・ディメンション
永遠の絆
墓所封印
その他
不明
