,無記入
ハーピィ
サンダー・ドラゴン
時計塔HERO
幻奏
ガイア
妖仙獣
磁石の戦士
フライトTG,TG
恐竜TG
トラミッド
月光
青眼
領域海皇
DD
堕天使
マジシャン・ガール
その他
不明
