,無記入
聖騎士,聖騎士
オノマト,オノマト
サンダー・ドラゴン,サンダー・ドラゴン
デスペラード,デスペラード
青眼,青眼
領域海皇,領域海皇
フォトン,フォトン
BF,BF
サイバー・ドラゴン,サイバー・ドラゴン
炎王,炎王
月光,月光
呪眼,呪眼
トラミッド,トラミッド
霊獣,霊獣
剛鬼,剛鬼
HERO,HERO
ブラック・マジシャン,ブラック・マジシャン
その他,その他
