,無記入
アロマ
ヴェンデット
ES召喚獣
害悪
水晶機巧
剛鬼
サイバー・ドラゴン,サイドラ
不知火
不知火(30枚),30不知火
超重武者
DD
デスペラード,デスぺ
ドラグニティ
ネオス
HERO(ファリス型),HERO
BF
ブラック・マジシャン,ブラマジ
青眼
マジシャンガール,ガール
魔妖
月光
ユベル
妖仙獣
ライトロード,ライロ
霊獣
六武衆
その他
