, 無記入
新たな宇宙！
あーばよ！
頂に立つ者
海の伝説
オルタナティブ(白龍),オルタナ
カモン！
儀式の使い手
儀式の使い手2
絆の力
現世復帰の制約
根性
サイバー流奥義
スリカエ
絶対運命力！
ディスティニー・ドロー,ディスドロ
ディフェンスチャージ
ハーピィの狩場
バランス
粉砕！
ヘビースターター,ヘビスタ
墓所封印
魔法の使い手
闇のゲーム
融合の使い手
レベル下降
レベルコピー
レベル上昇
連動トラップ
罠戦術の使い手
その他
