,無記入
機界騎士
剛鬼
インフェルノイド
ギャラクシー
マドルチェ
転生炎獣
コード・トーカー
ヴァレット
領域海皇
メタルフォーゼ
オッドアイズ
フェイバリットHERO
インフェルニティ
列車
ブラック・マジシャン
その他
不明
