,無記入
進化した最強ドラゴン
オルタナティブ(白龍)
ディスティニー・ドロー
レベル同調
レベル上昇
オノマト変化
レベルコピー
悪魔送り
ハーピィの狩場
ハーピィの遺志
絆の力
サイバー流奥義
鮫の領域
銀河光子
頂に立つ者
レベル下降
融合の使い手
巨大決戦
墓所封印
バランス
セット！デルタアクセル！
シンクロフライトコントロール
カモン！
その他
