,無記入
青眼,青眼
セプスロ堕天使,セプスロ堕天使
FA堕天使,FA堕天使
オノマト,オノマト
サンダー・ドラゴン,サンダー・ドラゴン
炎王,炎王
ハーピィ,ハーピィ
サイバー・ドラゴン,サイバー・ドラゴン
領域海皇,領域海皇
フォトン,フォトン
BF,BF
月光,月光
呪眼,呪眼
霊獣,霊獣
ブラック・マジシャン,ブラック・マジシャン
トラミッド,トラミッド
TG,TG
HERO,HERO
その他,その他
